"index","Mean","SD","Naive SE","Time-series SE","2.5%","25%","50%","75%","97.5%"
"mu[4,44]",7.26009767242013,0.516396469086875,0.00182573722536059,0.00186227922036476,6.23378865960133,6.91653365697807,7.26448840882324,7.60667222745915,8.26136024561129
"mu[5,44]",4.4191971395852,0.382803990097803,0.00135341648631712,0.0013965748611055,3.66092006788775,4.16428695545086,4.42235942513022,4.67660924890417,5.16467937245132
"mu[6,44]",5.87625663978027,0.451201510051276,0.00159523823719434,0.00162633835447595,4.98073956278785,5.5783935144107,5.87624446585704,6.17821581734118,6.76242057469368
"mu[1,45]",3.49423343905612,0.319168386267536,0.00112843065135071,0.00114560691948131,2.86070786978159,3.28150719454577,3.49709967244526,3.7096068736635,4.11446732503025
"mu[2,45]",2.28054836969537,0.207447291154587,0.000733436931570941,0.000741546661353215,1.86756917244264,2.14179102257668,2.28200056327125,2.42078351370009,2.68466951631366
"mu[3,45]",3.02361282480446,0.23626088727308,0.000835308377599727,0.000846703692163909,2.55281615163497,2.8677991172805,3.0248715958035,3.18330855524489,3.48360576178454
"mu[4,45]",7.24675209886731,0.517304631401872,0.00182894806401736,0.00187004909343929,6.21873244067865,6.90244184031537,7.25186112121945,7.59309824165136,8.25010047206193
"mu[5,45]",4.50358895860558,0.383170926847702,0.00135471380363772,0.00140442586795231,3.74390150176503,4.24844578885969,4.50664415966965,4.76203033122686,5.24904948908146
"mu[6,45]",5.88805777164106,0.451456895366822,0.00159614116063653,0.00162947046265819,4.99244020838978,5.58931472484487,5.88907276353076,6.18972767682885,6.77496607655647
"mu[1,46]",3.58594613795468,0.319587698688024,0.00112991314463052,0.00115115124628152,2.952215679276,3.37333484400018,3.58843041700844,3.80176909256952,4.20728107906103
"mu[2,46]",2.3472452783766,0.207540599911609,0.000733766827845113,0.000742943053507889,1.9356642451422,2.2086004899865,2.34853698155158,2.48771668787961,2.75130585665588
"mu[3,46]",3.07993439248277,0.236486361883446,0.000836105550729602,0.000854382321845026,2.60648099645493,2.92311930438429,3.08156005533958,3.23974087688605,3.5396514727195
