Region,Date,Value
HSE Dublin and North East,2023-07-09,0.2695685723479928
HSE Dublin and North East,2023-07-16,0.8087057170439784
HSE Dublin and North East,2023-07-23,0.9434900032179749
HSE Dublin and North East,2023-07-30,0.7750096455004793
HSE Dublin and North East,2023-08-06,0.7076175024134811
HSE Dublin and North East,2023-08-13,2.0049162568381966
HSE Dublin and North East,2023-08-20,2.0133402747240714
HSE Dublin and North East,2023-08-27,1.718499648718454
HSE Dublin and North East,2023-09-03,1.2972987544247154
HSE Dublin and North East,2023-09-10,1.575291344658583
HSE Dublin and North East,2023-09-17,1.3899629511693379
HSE Dublin and North East,2023-09-24,1.8617079527783253
HSE Dublin and North East,2023-10-01,2.3334529543873126
HSE Dublin and North East,2023-10-08,2.316604918615563
HSE Dublin and North East,2023-10-15,2.5693254551918066
HSE Dublin and North East,2023-10-22,2.139700543012193
HSE Dublin and North East,2023-10-29,2.4513892047895594
HSE Dublin and North East,2023-11-05,2.8557420633115487
HSE Dublin and North East,2023-11-12,2.923134206398547
HSE Dublin and North East,2023-11-19,3.041070456800794
HSE Dublin and North East,2023-11-26,2.813621973882175
HSE Dublin and North East,2023-12-03,2.3924210795884364
HSE Dublin and North East,2023-12-10,3.1337346535454165
HSE Dublin and North East,2023-12-17,2.771501884452801
HSE Dublin and North East,2023-12-24,0.9856100926473487
HSE Dublin and North East,2023-12-31,0.2021764292609946
HSE Dublin and North East,2024-01-07,2.0891564356969443
HSE Dublin and North East,2024-01-14,3.083190546230168
HSE Dublin and North East,2024-01-21,3.108462599887792
HSE Dublin and North East,2024-01-28,2.939982242170297
HSE Dublin and North East,2024-02-04,2.737805812909302
HSE Dublin and North East,2024-02-11,3.3780311722357848
HSE Dublin and North East,2024-02-18,2.5693254551918066
HSE Dublin and North East,2024-02-25,3.2853669754911623
HSE Dublin and North East,2024-03-03,2.400845097474311
HSE Dublin and North East,2024-03-10,2.3334529543873126
HSE Dublin and North East,2024-03-17,3.0663425104584183
HSE Dublin and North East,2024-03-24,2.7125337592516776
HSE Dublin and North East,2024-03-31,2.2492127755285654
HSE Dublin and North East,2024-04-07,2.1649725966698172
HSE Dublin and North East,2024-04-14,2.8557420633115487
HSE Dublin and North East,2024-04-21,2.9484062600561716
HSE Dublin and North East,2024-04-28,2.889438134855048
HSE Dublin and North East,2024-05-05,2.1818206324415668
HSE Dublin and North East,2024-05-12,2.5440534015341822
HSE Dublin and North East,2024-05-19,2.9652542958279207
HSE Dublin and North East,2024-05-26,3.3864551901216595
HSE Dublin and North East,2024-06-02,2.0807324178110695
HSE Dublin and North East,2024-06-09,2.3418769722731874
HSE Dublin and North East,2024-06-16,2.8220459917680496
HSE Dublin and North East,2024-06-23,2.763077866566926
HSE Dublin and North East,2024-06-30,2.973678313713796
HSE Dublin and North East,2024-07-07,2.3924210795884364
HSE Dublin and North East,2024-07-14,1.432083040598712
HSE Dublin and North East,2024-07-21,1.6679555414032055
HSE Dublin and North East,2024-07-28,1.7100756308325795
HSE Dublin and North East,2024-08-04,1.769043756033703
HSE Dublin and North East,2024-08-11,1.8195878633489515
HSE Dublin and North East,2024-08-18,1.2551786649953416
HSE Dublin and North East,2024-08-25,1.802739827577202
HSE Dublin and North East,2024-09-01,2.097580453582819
HSE Dublin and North East,2024-09-08,2.3924210795884364
HSE Dublin and North East,2024-09-15,2.3081809007296883
HSE Dublin and North East,2024-09-22,2.2323647397568154
HSE Dublin and North East,2024-09-29,2.8051979559963
HSE Dublin and North East,2024-10-06,3.3443351006922857
HSE Dublin and North East,2024-10-13,2.518781347876558
HSE Dublin and North East,2024-10-20,2.619869562507055
HSE Dublin and North East,2024-10-27,2.4176931332460603
HSE Dublin and North East,2024-11-03,2.7546538486810515
HSE Dublin and North East,2024-11-10,3.049494474686669
HSE Dublin and North East,2024-11-17,2.510357329990683
HSE Dublin and North East,2024-11-24,3.184278760860665
HSE Dublin and North East,2024-12-01,4.009832513676393
HSE Dublin and North East,2024-12-08,3.7655359949860245
HSE Dublin and North East,2024-12-15,3.597055637268529
HSE Dublin and North East,2024-12-22,2.9652542958279207
HSE Dublin and North East,2024-12-29,1.120394378821345
HSE Dublin and North East,2025-01-05,1.7943158096913272
HSE Dublin and North East,2025-01-12,3.217974832404164
HSE Dublin and North East,2025-01-19,3.2011267966324146
HSE Dublin and North East,2025-01-26,3.5043914405239067
HSE Dublin and North East,2025-02-02,4.085648674649266
HSE Dublin and North East,2025-02-09,4.523697604714755
HSE Dublin and North East,2025-02-16,3.8076560844153984
HSE Dublin and North East,2025-02-23,3.748687959214275
HSE Dublin and North East,2025-03-02,2.5777494730776813
HSE Dublin and North East,2025-03-09,1.7858917918054524
HSE Dublin and North East,2025-03-16,1.912252060093574
HSE Dublin and North East,2025-03-23,1.0698502715060965
HSE Dublin and North East,2025-03-30,2.6030215267353056
HSE Dublin and North East,2025-04-06,3.0663425104584183
HSE Dublin and North East,2025-04-13,1.4826271479139606
HSE Dublin and North East,2025-04-20,2.367149025930812
HSE Dublin and North East,2025-04-27,1.2720267007670911
HSE Dublin and North East,2025-05-04,1.3394188438540893
HSE Dublin and North East,2025-05-11,1.1962105397942182
HSE Dublin and North East,2025-05-18,1.010882146304973
HSE Dublin and North East,2025-05-25,1.5163232194574596
HSE Dublin and North East,2025-06-01,1.8280118812348263
HSE Dublin and North East,2025-06-08,1.945948131637073
HSE Dublin and North East,2025-06-15,1.7606197381478281
HSE Dublin and North East,2025-06-22,1.5668673267727082
HSE Dublin and North East,2025-06-29,1.2636026828812164
HSE Dublin and North East,2025-07-06,1.5921393804303325
HSE Dublin and North East,2025-07-13,1.49947518368571
HSE Dublin and North East,2025-07-20,1.5247472373433344
HSE Dublin and North East,2025-07-27,1.6932275950608298
HSE Dublin and North East,2025-08-03,0.9519140211038496
HSE Dublin and North East,2025-08-10,1.3309948259682145
HSE Dublin and North East,2025-08-17,1.8532839348924506
HSE Dublin and North East,2025-08-24,1.8617079527783253
HSE Dublin and North East,2025-08-31,1.6258354519738316
HSE Dublin and North East,2025-09-07,1.5331712552292092
HSE Dublin and North East,2025-09-14,1.7437717023760784
